PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Black Carbon Mass Concentration
Instrument: 7-Wavelength Aethalometer
Channel Info.: 360(Ch 1), 450(Ch 2), 571(Ch 3), 615(Ch 4), 660(Ch 5), 880(Ch 6), and 950(Ch 7)nm
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Raw Data
Units: ug/m^3
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

Yr    Mo  Da   DoY(UTC)      Ch 1      Ch 2      Ch 3      Ch 4      Ch 5      Ch 6      Ch 7      7-Ch Avg.
2006   9   8   251.25000     0.560     0.561     0.603     0.583     0.567     0.579     0.624     0.582
2006   9   8   251.29167     0.658     0.659     0.698     0.672     0.658     0.664     0.709     0.674
2006   9   8   251.33333     1.071     1.103     1.189     1.181     1.182     1.225     1.336     1.184
2006   9   8   251.37500     0.532     0.541     0.573     0.556     0.549     0.562     0.616     0.561
2006   9   8   251.41667     0.410     0.414     0.441     0.429     0.421     0.431     0.480     0.432
2006   9   8   251.45833     0.392     0.391     0.426     0.410     0.411     0.440     0.480     0.421
2006   9   8   251.50000     0.937     1.008     1.104     1.130     1.161     1.235     1.376     1.136
2006   9   8   251.54167     0.614     0.569     0.597     0.543     0.527     0.523     0.521     0.556
2006   9   8   251.58333     0.598     0.561     0.594     0.552     0.532     0.530     0.547     0.559
2006   9   8   251.62500     0.593     0.568     0.602     0.571     0.548     0.551     0.585     0.574
2006   9   8   251.66667     0.530     0.511     0.545     0.513     0.494     0.493     0.504     0.513
2006   9   8   251.70833     0.500     0.488     0.511     0.484     0.468     0.473     0.517     0.492
2006   9   8   251.75000     0.463     0.455     0.479     0.457     0.439     0.439     0.472     0.458
2006   9   8   251.79167     0.448     0.445     0.471     0.450     0.434     0.437     0.469     0.450
2006   9   8   251.83333     0.450     0.449     0.473     0.450     0.433     0.437     0.476     0.452
2006   9   8   251.87500     0.429     0.425     0.449     0.431     0.414     0.420     0.463     0.433
2006   9   8   251.91667     0.417     0.423     0.447     0.430     0.415     0.422     0.468     0.432
2006   9   8   251.95833     0.422     0.423     0.452     0.431     0.415     0.415     0.455     0.431
2006   9   9   252.00000     0.393     0.396     0.426     0.409     0.398     0.412     0.457     0.413
2006   9   9   252.04167     0.395     0.396     0.423     0.404     0.385     0.389     0.420     0.402
2006   9   9   252.08333     0.370     0.375     0.396     0.383     0.368     0.379     0.433     0.386
2006   9   9   252.12500     0.361     0.362     0.389     0.374     0.361     0.365     0.408     0.374
2006   9   9   252.16667     0.592     0.525     0.542     0.477     0.437     0.416     0.416     0.487
2006   9   9   252.20833     0.627     0.569     0.589     0.533     0.492     0.482     0.521     0.545
2006   9   9   252.25000     0.602     0.553     0.572     0.513     0.469     0.447     0.485     0.520
2006   9   9   252.29167     0.602     0.561     0.579     0.524     0.474     0.453     0.491     0.526
2006   9   9   252.33333     0.598     0.552     0.575     0.510     0.451     0.428     0.460     0.511
2006   9   9   252.37500     0.612     0.579     0.599     0.540     0.485     0.464     0.510     0.541
2006   9   9   252.41667     0.593     0.569     0.592     0.532     0.476     0.455     0.500     0.531
2006   9   9   252.45833     0.450     0.422     0.453     0.387     0.348     0.332     0.371     0.395
2006   9   9   252.50000     0.431     0.406     0.423     0.385     0.347     0.331     0.362     0.384
2006   9   9   252.54167     0.279     0.264     0.281     0.250     0.223     0.208     0.224     0.247
2006   9   9   252.58333     0.242     0.229     0.241     0.216     0.191     0.183     0.196     0.214
2006   9   9   252.62500     0.201     0.191     0.200     0.180     0.160     0.147     0.164     0.178
2006   9   9   252.66667     0.188     0.180     0.197     0.175     0.154     0.146     0.159     0.171
2006   9   9   252.70833     0.160     0.147     0.147     0.133     0.112     0.097     0.095     0.127
2006   9   9   252.75000     0.130     0.142     0.162     0.144     0.138     0.136     0.157     0.144
2006   9   9   252.79167     0.166     0.157     0.164     0.149     0.141     0.128     0.142     0.149
2006   9   9   252.83333     0.169     0.168     0.180     0.165     0.150     0.147     0.167     0.164
2006   9   9   252.87500     0.167     0.169     0.179     0.173     0.165     0.165     0.183     0.171
2006   9   9   252.91667     0.231     0.214     0.211     0.206     0.184     0.206     0.216     0.210
2006   9   9   252.95833     0.228     0.186     0.191     0.164     0.158     0.153     0.154     0.176
2006   9  10   253.00000     0.185     0.158     0.153     0.146     0.138     0.128     0.131     0.148
2006   9  10   253.04167     0.263     0.228     0.235     0.203     0.191     0.180     0.190     0.213
2006   9  10   253.08333     0.280     0.242     0.254     0.216     0.196     0.188     0.196     0.225
2006   9  10   253.12500     0.278     0.248     0.258     0.227     0.206     0.205     0.221     0.235
2006   9  10   253.16667     0.238     0.212     0.222     0.193     0.177     0.171     0.180     0.199
2006   9  10   253.20833     0.183     0.167     0.175     0.160     0.149     0.152     0.171     0.165
2006   9  10   253.25000     0.073     0.067     0.071     0.065     0.061     0.060     0.061     0.065
2006   9  10   253.29167     0.084     0.078     0.081     0.075     0.069     0.071     0.079     0.077
2006   9  10   253.33333     0.048     0.042     0.043     0.034     0.029     0.027     0.026     0.036
2006   9  10   253.37500     0.048     0.040     0.042     0.035     0.032     0.028     0.032     0.037
2006   9  10   253.41667     0.049     0.044     0.045     0.040     0.040     0.043     0.054     0.045
2006   9  10   253.45833     0.056     0.051     0.055     0.053     0.047     0.045     0.050     0.051
2006   9  10   253.50000     0.049     0.044     0.044     0.037     0.035     0.035     0.035     0.040
2006   9  10   253.54167     0.057     0.052     0.056     0.050     0.046     0.045     0.048     0.051
2006   9  10   253.58333     0.066     0.062     0.064     0.057     0.054     0.055     0.059     0.060
2006   9  10   253.62500     0.158     0.143     0.148     0.130     0.117     0.115     0.129     0.134
2006   9  10   253.66667     0.355     0.311     0.323     0.266     0.222     0.199     0.216     0.270
2006   9  10   253.70833     0.339     0.302     0.313     0.261     0.223     0.201     0.226     0.266
2006   9  10   253.75000     0.263     0.232     0.248     0.205     0.176     0.157     0.169     0.207
2006   9  10   253.79167     0.263     0.239     0.250     0.210     0.179     0.163     0.182     0.212
2006   9  10   253.83333     0.276     0.255     0.271     0.230     0.199     0.184     0.196     0.230
2006   9  10   253.87500     0.783     0.649     0.668     0.606     0.581     0.564     0.602     0.636
2006   9  10   253.91667     0.308     0.302     0.321     0.288     0.267     0.254     0.282     0.289
2006   9  10   253.95833     0.329     0.322     0.340     0.314     0.293     0.290     0.317     0.315
2006   9  11   254.00000     0.331     0.305     0.321     0.291     0.266     0.259     0.291     0.295
2006   9  11   254.04167     0.336     0.320     0.338     0.299     0.274     0.260     0.283     0.301
2006   9  11   254.08333     0.331     0.319     0.339     0.313     0.293     0.294     0.327     0.317
2006   9  11   254.12500     0.553     0.517     0.563     0.493     0.470     0.474     0.482     0.507
2006   9  11   254.16667     0.679     0.575     0.605     0.507     0.458     0.442     0.449     0.531
2006   9  11   254.20833     0.600     0.542     0.563     0.497     0.453     0.435     0.460     0.507
2006   9  11   254.25000     0.596     0.568     0.591     0.546     0.508     0.493     0.527     0.547
2006   9  11   254.29167     0.493     0.478     0.507     0.475     0.448     0.444     0.476     0.475
2006   9  11   254.33333     0.620     0.624     0.657     0.638     0.623     0.627     0.685     0.639
2006   9  11   254.37500     0.526     0.537     0.566     0.558     0.547     0.559     0.616     0.558
2006   9  11   254.41667     0.447     0.470     0.496     0.495     0.492     0.507     0.551     0.494
2006   9  11   254.45833     0.418     0.437     0.463     0.460     0.461     0.489     0.537     0.467
2006   9  11   254.50000     0.392     0.413     0.438     0.436     0.435     0.460     0.509     0.440
2006   9  11   254.54167     0.332     0.352     0.371     0.376     0.376     0.392     0.439     0.377
2006   9  11   254.58333     0.331     0.351     0.382     0.385     0.385     0.407     0.456     0.385
2006   9  11   254.62500     0.302     0.319     0.339     0.343     0.343     0.360     0.406     0.345
2006   9  11   254.66667     0.297     0.318     0.333     0.338     0.339     0.358     0.401     0.341
2006   9  11   254.70833     0.310     0.331     0.361     0.361     0.370     0.396     0.450     0.368
2006   9  11   254.75000     0.330     0.349     0.368     0.372     0.375     0.398     0.457     0.378
2006   9  11   254.79167     0.637     0.606     0.627     0.597     0.595     0.601     0.612     0.611
2006   9  11   254.83333     0.627     0.582     0.594     0.577     0.569     0.565     0.576     0.584
2006   9  11   254.87500     0.650     0.571     0.587     0.549     0.550     0.561     0.581     0.578
2006   9  11   254.91667     0.491     0.469     0.485     0.470     0.467     0.476     0.508     0.481
2006   9  11   254.95833     0.494     0.472     0.492     0.479     0.475     0.483     0.510     0.486
2006   9  12   255.00000     0.493     0.485     0.502     0.494     0.488     0.497     0.529     0.498
2006   9  12   255.04167     0.871     0.734     0.748     0.712     0.701     0.714     0.768     0.750
2006   9  12   255.08333     0.605     0.579     0.602     0.599     0.594     0.614     0.676     0.610
2006   9  12   255.12500     0.396     0.423     0.451     0.458     0.461     0.484     0.531     0.458
2006   9  12   255.16667     0.721     0.641     0.662     0.647     0.643     0.672     0.746     0.676
2006   9  12   255.20833     0.450     0.447     0.466     0.459     0.459     0.477     0.530     0.470
2006   9  12   255.25000     0.447     0.449     0.474     0.483     0.482     0.517     0.581     0.491
2006   9  12   255.29167     1.338     1.015     1.023     0.895     0.858     0.842     0.863     0.976
2006   9  12   255.33333     0.873     0.767     0.795     0.728     0.697     0.697     0.748     0.758
2006   9  12   255.37500     0.662     0.637     0.668     0.623     0.596     0.590     0.633     0.630
2006   9  12   255.41667     0.808     0.784     0.823     0.773     0.737     0.729     0.780     0.776
2006   9  12   255.45833     1.736     1.731     1.835     1.808     1.815     1.887     2.053     1.838
2006   9  12   255.50000     0.833     0.748     0.774     0.712     0.664     0.654     0.713     0.728
2006   9  12   255.54167     0.549     0.540     0.570     0.532     0.506     0.512     0.573     0.540
2006   9  12   255.58333     0.568     0.563     0.597     0.562     0.528     0.533     0.590     0.563
2006   9  12   255.62500     0.906     0.787     0.814     0.698     0.642     0.623     0.670     0.734
2006   9  12   255.66667     0.857     0.777     0.811     0.724     0.666     0.645     0.708     0.741
2006   9  12   255.70833     0.746     0.691     0.721     0.649     0.592     0.569     0.621     0.656
2006   9  12   255.75000     0.749     0.689     0.722     0.650     0.598     0.569     0.615     0.656
2006   9  12   255.79167     0.842     0.721     0.746     0.668     0.602     0.556     0.591     0.675
2006   9  12   255.83333     1.079     0.830     0.842     0.735     0.663     0.600     0.620     0.767
2006   9  12   255.87500     0.407     0.397     0.415     0.390     0.375     0.383     0.419     0.398
2006   9  12   255.91667     0.469     0.457     0.485     0.455     0.435     0.437     0.486     0.461
2006   9  12   255.95833     0.890     0.736     0.755     0.693     0.654     0.629     0.672     0.718
2006   9  13   256.00000     1.207     0.927     0.929     0.785     0.724     0.695     0.727     0.856
2006   9  13   256.04166     1.068     0.871     0.888     0.777     0.724     0.703     0.752     0.826
2006   9  13   256.08334     0.672     0.590     0.611     0.540     0.500     0.480     0.513     0.558
2006   9  13   256.12500     0.710     0.635     0.652     0.589     0.555     0.549     0.598     0.613
2006   9  13   256.16666     0.688     0.579     0.604     0.545     0.518     0.503     0.540     0.568
2006   9  13   256.20834     0.421     0.404     0.424     0.392     0.372     0.369     0.400     0.397
2006   9  13   256.25000     8.280     5.375     6.679    10.240     6.247     1.932     1.266     5.717
2006   9  13   256.29166     0.269     0.232     0.276     0.219     0.212     0.227     0.242     0.240
2006   9  13   256.33334     0.130     0.112     0.132     0.107     0.104     0.103     0.095     0.112
2006   9  13   256.37500     0.121     0.111     0.115     0.112     0.107     0.119     0.136     0.117
2006   9  13   256.41666     0.130     0.120     0.127     0.114     0.120     0.130     0.153     0.128
2006   9  13   256.45834     0.061     0.053     0.054     0.054     0.055     0.065     0.060     0.057
2006   9  13   256.50000     0.026     0.020     0.029     0.014     0.014     0.012     0.004     0.017
2006   9  13   256.54166     0.026     0.025     0.026     0.023     0.023     0.020     0.023     0.024
2006   9  13   256.58334     0.038     0.044     0.052     0.041     0.039     0.038     0.068     0.046
2006   9  13   256.62500     0.040     0.034     0.042     0.028     0.024     0.028     0.039     0.034
2006   9  13   256.66666     0.055     0.048     0.048     0.042     0.040     0.036     0.040     0.044
2006   9  13   256.70834     0.047     0.038     0.040     0.034     0.030     0.032     0.031     0.036
2006   9  13   256.75000     0.057     0.047     0.050     0.042     0.038     0.040     0.049     0.046
2006   9  13   256.79166     0.068     0.057     0.059     0.052     0.049     0.051     0.057     0.056
2006   9  13   256.83334     0.074     0.059     0.062     0.049     0.042     0.040     0.050     0.054
2006   9  13   256.87500     0.095     0.085     0.081     0.075     0.070     0.070     0.081     0.079
2006   9  13   256.91666     0.078     0.063     0.064     0.048     0.039     0.029     0.016     0.048
2006   9  13   256.95834     0.146     0.142     0.156     0.149     0.149     0.170     0.236     0.164
2006   9  14   257.00000     0.532     0.541     0.568     0.563     0.555     0.533     0.497     0.541
2006   9  14   257.04166     0.536     0.546     0.593     0.593     0.599     0.618     0.658     0.592
2006   9  14   257.08334     1.658     1.797     1.930     1.997     2.037     2.140     2.285     1.978
2006   9  14   257.12500     0.167     0.159     0.169     0.163     0.162     0.168     0.182     0.167
2006   9  14   257.16666     0.916     0.742     0.756     0.716     0.710     0.744     0.849     0.776
2006   9  14   257.20834     1.039     0.802     0.808     0.754     0.738     0.760     0.838     0.820
2006   9  14   257.25000     0.812     0.611     0.615     0.566     0.571     0.589     0.667     0.633
2006   9  14   257.29166     1.105     0.687     0.645     0.532     0.494     0.444     0.414     0.617
2006   9  14   257.33334     0.693     0.486     0.477     0.412     0.393     0.374     0.390     0.461
2006   9  14   257.37500     0.395     0.294     0.284     0.243     0.225     0.206     0.204     0.264
2006   9  14   257.41666     0.157     0.154     0.161     0.152     0.146     0.146     0.164     0.154
2006   9  14   257.45834     0.141     0.139     0.147     0.137     0.130     0.126     0.136     0.137
2006   9  14   257.50000     0.176     0.157     0.160     0.142     0.129     0.121     0.125     0.144
2006   9  14   257.54166     0.159     0.148     0.157     0.141     0.132     0.128     0.139     0.143
2006   9  14   257.58334     0.178     0.164     0.171     0.145     0.137     0.138     0.143     0.154
2006   9  14   257.62500     0.185     0.164     0.174     0.145     0.131     0.126     0.126     0.150
2006   9  14   257.66666     0.238     0.214     0.226     0.192     0.165     0.146     0.151     0.190
2006   9  14   257.70834     0.283     0.260     0.266     0.233     0.203     0.188     0.207     0.234
2006   9  14   257.75000     0.282     0.249     0.263     0.216     0.179     0.153     0.147     0.213
2006   9  14   257.79166     0.258     0.242     0.252     0.220     0.194     0.172     0.188     0.218
2006   9  14   257.83334     0.255     0.230     0.237     0.202     0.170     0.144     0.143     0.197
2006   9  14   257.87500     8.646    10.214    11.261    12.258    13.066    15.079    17.631    12.593
2006   9  14   257.91666     6.266     6.751     6.904     6.702     6.986     7.870     9.822     7.329
2006   9  15   258.54166     0.210     0.181     0.190     0.156     0.157     0.187     0.219     0.186
2006   9  15   258.58334     0.156     0.124     0.134     0.109     0.111     0.127     0.146     0.130
2006   9  15   258.62500     0.141     0.119     0.127     0.107     0.102     0.108     0.124     0.118
2006   9  15   258.66666     0.133     0.107     0.112     0.089     0.078     0.075     0.076     0.096
2006   9  15   258.70834     0.113     0.090     0.097     0.081     0.076     0.076     0.089     0.089
2006   9  15   258.75000     0.132     0.112     0.114     0.097     0.083     0.086     0.097     0.103
2006   9  15   258.79166     0.116     0.091     0.097     0.076     0.069     0.059     0.063     0.082
2006   9  15   258.83334     0.133     0.115     0.117     0.103     0.095     0.099     0.122     0.112
2006   9  15   258.87500     0.120     0.099     0.102     0.081     0.072     0.062     0.059     0.085
2006   9  15   258.91666     0.110     0.094     0.096     0.084     0.074     0.074     0.085     0.088
2006   9  15   258.95834     0.082     0.072     0.074     0.065     0.059     0.061     0.075     0.070
2006   9  16   259.00000     0.063     0.051     0.050     0.037     0.028     0.020     0.012     0.037
2006   9  16   259.04166     0.093     0.080     0.084     0.074     0.068     0.067     0.071     0.077
2006   9  16   259.08334     0.087     0.080     0.084     0.076     0.072     0.070     0.080     0.078
2006   9  16   259.12500     0.108     0.094     0.103     0.087     0.080     0.072     0.071     0.088
2006   9  16   259.16666     0.120     0.115     0.116     0.112     0.105     0.106     0.120     0.113
2006   9  16   259.20834     0.116     0.099     0.109     0.091     0.080     0.068     0.061     0.089
2006   9  16   259.25000     0.134     0.128     0.131     0.122     0.113     0.114     0.134     0.125
2006   9  16   259.29166     0.123     0.106     0.115     0.096     0.084     0.072     0.063     0.094
2006   9  16   259.33334     0.148     0.134     0.137     0.121     0.105     0.098     0.109     0.122
2006   9  16   259.37500     0.156     0.144     0.152     0.133     0.125     0.119     0.134     0.137
2006   9  16   259.41666     0.094     0.078     0.080     0.059     0.042     0.025     0.007     0.055
2006   9  16   259.45834     0.139     0.126     0.131     0.114     0.104     0.097     0.112     0.117
2006   9  16   259.50000     0.107     0.089     0.095     0.070     0.058     0.047     0.045     0.073
2006   9  16   259.54166     0.123     0.113     0.119     0.102     0.094     0.090     0.105     0.107
2006   9  16   259.58334     0.166     0.153     0.167     0.151     0.145     0.140     0.146     0.153
2006   9  16   259.62500     0.561     0.496     0.525     0.481     0.467     0.449     0.472     0.493
2006   9  16   259.66666     0.452     0.352     0.366     0.317     0.303     0.286     0.301     0.339
2006   9  16   259.70834     0.097     0.078     0.077     0.070     0.073     0.071     0.087     0.079
2006   9  16   259.75000     0.093     0.072     0.081     0.069     0.066     0.069     0.076     0.075
2006   9  16   259.79166     0.128     0.095     0.095     0.086     0.083     0.081     0.083     0.093
2006   9  16   259.83334     0.492     0.380     0.391     0.349     0.345     0.336     0.360     0.379
2006   9  16   259.87500     0.407     0.336     0.355     0.333     0.336     0.342     0.386     0.356
2006   9  16   259.91666     0.063     0.045     0.044     0.034     0.028     0.020     0.007     0.034
2006   9  16   259.95834     0.024     0.028     0.029     0.028     0.026     0.028     0.038     0.029
2006   9  17   260.00000     0.028     0.024     0.029     0.023     0.020     0.019     0.024     0.024
2006   9  17   260.04166     0.036     0.033     0.035     0.031     0.032     0.027     0.033     0.032
2006   9  17   260.08334     0.492     0.475     0.528     0.530     0.554     0.596     0.685     0.551
2006   9  17   260.12500     0.276     0.252     0.260     0.235     0.228     0.227     0.248     0.246
2006   9  17   260.16666     0.023     0.024     0.025     0.020     0.017     0.016     0.020     0.021
2006   9  17   260.20834     0.321     0.250     0.261     0.238     0.235     0.237     0.271     0.259
2006   9  17   260.25000     0.108     0.105     0.116     0.104     0.100     0.100     0.109     0.106
2006   9  17   260.29166     0.211     0.198     0.202     0.195     0.199     0.214     0.238     0.208
2006   9  17   260.33334     0.141     0.090     0.093     0.073     0.068     0.071     0.067     0.086
2006   9  17   260.37500     0.052     0.042     0.036     0.035     0.037     0.034     0.034     0.039
2006   9  17   260.41666     0.051     0.043     0.047     0.038     0.034     0.030     0.025     0.038
2006   9  17   260.45834     0.051     0.049     0.048     0.047     0.048     0.053     0.068     0.052
2006   9  17   260.50000     0.045     0.034     0.033     0.024     0.019     0.016     0.004     0.025
2006   9  17   260.54166     0.076     0.069     0.081     0.068     0.078     0.092     0.111     0.082
2006   9  17   260.58334     0.180     0.169     0.168     0.161     0.153     0.145     0.147     0.161
2006   9  17   260.62500     0.155     0.146     0.151     0.145     0.140     0.139     0.146     0.146
2006   9  17   260.66666     0.279     0.267     0.283     0.268     0.264     0.263     0.273     0.271
2006   9  17   260.70834     0.043     0.038     0.041     0.030     0.031     0.033     0.031     0.035
2006   9  17   260.75000     0.017     0.014     0.009     0.012     0.014     0.013     0.013     0.013
2006   9  17   260.79166     0.022     0.020     0.021     0.017     0.017     0.017     0.017     0.019
2006   9  17   260.83334     0.021     0.017     0.021     0.017     0.017     0.022     0.027     0.020
2006   9  17   260.87500     0.051     0.049     0.053     0.044     0.042     0.043     0.047     0.047
2006   9  17   260.91666     0.022     0.015     0.008     0.009     0.007     0.003    -0.004     0.009
2006   9  17   260.95834     0.087     0.084     0.088     0.082     0.080     0.083     0.095     0.086
2006   9  18   261.00000     0.049     0.038     0.038     0.033     0.031     0.029     0.026     0.035
2006   9  18   261.04166     0.043     0.041     0.041     0.039     0.038     0.040     0.045     0.041
2006   9  18   261.08334     0.013     0.013     0.017     0.015     0.016     0.018     0.026     0.017
2006   9  18   261.12500     0.018     0.017     0.011     0.012     0.011     0.006     0.000     0.011
2006   9  18   261.16666     0.036     0.032     0.043     0.036     0.036     0.043     0.056     0.040
2006   9  18   261.20834     0.027     0.022     0.013     0.015     0.012     0.003    -0.006     0.012
2006   9  18   261.25000     0.093     0.075     0.085     0.070     0.065     0.068     0.082     0.077
2006   9  18   261.29166     0.096     0.084     0.076     0.077     0.076     0.069     0.062     0.077
2006   9  18   261.33334     0.112     0.112     0.123     0.118     0.118     0.124     0.142     0.121
2006   9  18   261.37500     0.138     0.140     0.150     0.148     0.147     0.150     0.158     0.147
2006   9  18   261.41666     0.044     0.041     0.041     0.038     0.036     0.032     0.034     0.038
2006   9  18   261.45834     0.034     0.034     0.035     0.032     0.031     0.032     0.037     0.034
2006   9  18   261.50000     0.032     0.027     0.033     0.029     0.026     0.025     0.021     0.027
2006   9  18   261.54166     0.034     0.033     0.033     0.031     0.032     0.032     0.037     0.033
2006   9  18   261.58334     0.043     0.040     0.048     0.042     0.040     0.041     0.048     0.043
2006   9  18   261.62500     0.028     0.025     0.027     0.025     0.024     0.020     0.015     0.024
2006   9  18   261.66666     0.073     0.068     0.083     0.074     0.071     0.076     0.087     0.076
2006   9  18   261.70834     0.050     0.043     0.030     0.031     0.028     0.020     0.015     0.031
2006   9  18   261.75000     0.121     0.112     0.125     0.110     0.101     0.106     0.120     0.114
2006   9  18   261.79166     0.102     0.099     0.096     0.096     0.092     0.085     0.085     0.093
2006   9  18   261.83334     0.149     0.146     0.159     0.148     0.146     0.147     0.165     0.152
2006   9  18   261.87500     0.140     0.131     0.126     0.122     0.113     0.107     0.110     0.121
2006   9  18   261.91666     0.161     0.157     0.173     0.159     0.153     0.162     0.186     0.164
2006   9  18   261.95834     0.104     0.102     0.091     0.093     0.083     0.076     0.072     0.089
2006   9  19   262.00000     0.131     0.122     0.130     0.118     0.113     0.112     0.123     0.121
2006   9  19   262.04166     0.104     0.098     0.110     0.103     0.099     0.101     0.113     0.104
2006   9  19   262.08334     0.106     0.102     0.097     0.092     0.085     0.077     0.075     0.091
2006   9  19   262.12500     0.151     0.134     0.142     0.123     0.106     0.100     0.115     0.124
2006   9  19   262.16666     0.093     0.092     0.091     0.086     0.077     0.071     0.072     0.083
2006   9  19   262.20834     0.114     0.109     0.111     0.104     0.097     0.091     0.108     0.105
2006   9  19   262.25000     0.113     0.103     0.116     0.103     0.095     0.092     0.102     0.104
2006   9  19   262.29166     0.083     0.087     0.078     0.084     0.077     0.075     0.077     0.080
2006   9  19   262.33334     0.100     0.095     0.106     0.097     0.092     0.091     0.101     0.097
2006   9  19   262.37500     0.083     0.084     0.090     0.089     0.083     0.086     0.091     0.087
2006   9  19   262.41666     0.066     0.068     0.069     0.069     0.068     0.067     0.073     0.069
2006   9  19   262.45834     0.060     0.063     0.066     0.068     0.066     0.070     0.072     0.066
2006   9  19   262.50000     0.050     0.050     0.056     0.054     0.051     0.051     0.052     0.052
2006   9  19   262.54166     0.052     0.053     0.058     0.056     0.055     0.059     0.064     0.057
2006   9  19   262.58334     0.043     0.043     0.047     0.046     0.041     0.037     0.041     0.043
2006   9  19   262.62500     0.054     0.054     0.058     0.054     0.054     0.056     0.060     0.056
2006   9  19   262.66666     0.028     0.030     0.034     0.037     0.034     0.036     0.038     0.034
2006   9  19   262.70834     0.053     0.057     0.057     0.058     0.063     0.062     0.071     0.060
