PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Aerosol Absorption Coefficients at 3 wavelengths
Instrument: 3-Wavelength Particle Soot Absorption Photometer (PSAP)
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Preliminary
Units: Mm^-1
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

                           Kabs_   Kabs_   Kabs_
year  mon day  DoY(UTC)    467nm   530nm   660nm
2006   9   8   251.64583     5.8     5.1     4.2
2006   9   8   251.68750     4.8     4.2     3.3
2006   9   8   251.72917     5.4     4.7     3.7
2006   9   8   251.77083     2.5     2.3     1.9
2006   9   8   251.81250     5.1     4.4     3.4
2006   9   8   251.85417     5.2     4.4     3.4
2006   9   8   251.89583     5.5     4.6     3.6
2006   9   8   251.93750     5.0     4.1     3.1
2006   9   8   251.97917     5.8     4.9     3.8
2006   9   9   252.02083     5.2     4.4     3.3
2006   9   9   252.06250     5.7     4.8     3.7
2006   9   9   252.10417     5.3     4.4     3.3
2006   9   9   252.14583     5.5     4.6     3.4
2006   9   9   252.18750     6.1     5.0     3.8
2006   9   9   252.22917     6.7     5.5     4.2
2006   9   9   252.27083     6.4     5.1     3.8
2006   9   9   252.31250     6.9     5.5     3.9
2006   9   9   252.35417     8.1     6.5     4.7
2006   9   9   252.39583     8.4     6.7     4.8
2006   9   9   252.43750    -5.6    -5.6    -5.6
2006   9   9   252.47917     5.2     4.1     2.9
2006   9   9   252.52083     4.2     3.2     2.2
2006   9   9   252.56250     2.9     2.1     1.4
2006   9   9   252.60417     2.7     2.1     1.4
2006   9   9   252.64583     2.8     2.2     1.5
2006   9   9   252.68750     2.4     1.8     1.3
2006   9   9   252.72917     1.6     1.1     0.6
2006   9   9   252.77083     2.6     1.9     1.3
2006   9   9   252.81250     2.7     2.0     1.3
2006   9   9   252.85417     2.4     1.8     1.2
2006   9   9   252.89583     2.3     1.8     1.2
2006   9   9   252.93750     2.7     2.1     1.5
2006   9   9   252.97917     1.2     0.8     0.5
2006   9  10   253.02083     2.0     1.6     1.1
2006   9  10   253.06250     3.8     3.1     2.3
2006   9  10   253.10417     1.3     0.9     0.4
2006   9  10   253.14583     3.9     3.2     2.5
2006   9  10   253.18750     1.1     0.7     0.3
2006   9  10   253.22917     2.0     1.6     1.3
2006   9  10   253.27083    -0.4    -0.5    -0.6
2006   9  10   253.31250     1.4     1.1     0.8
2006   9  10   253.35417    -0.3    -0.4    -0.5
2006   9  10   253.39583     1.3     1.0     0.8
2006   9  10   253.43750    25.1    24.9    15.2
2006   9  10   253.47917     0.3     0.4     0.3
2006   9  10   253.52083     1.2     1.1     0.9
2006   9  10   253.56250    -0.1    -0.1    -0.2
2006   9  10   253.60417     0.9     0.8     0.6
2006   9  10   253.64583     2.5     1.9     1.3
2006   9  10   253.68750     3.0     2.2     1.4
2006   9  10   253.72917     2.7     1.9     1.3
2006   9  10   253.77083     2.7     2.0     1.3
2006   9  10   253.81250     3.6     2.8     2.1
2006   9  10   253.85417     5.7     4.2     2.9
2006   9  10   253.89583     6.8     5.3     3.9
2006   9  10   253.93750     4.4     3.4     2.4
2006   9  10   253.97917     3.5     2.6     1.8
2006   9  11   254.02083     5.6     4.4     3.3
2006   9  11   254.06250     3.8     2.8     1.8
2006   9  11   254.10417     6.2     4.6     3.0
2006   9  11   254.14583     8.4     6.5     4.6
2006   9  11   254.18750     7.2     5.6     3.9
2006   9  11   254.22917     6.5     5.2     3.7
2006   9  11   254.27083     7.3     6.0     4.6
2006   9  11   254.31250     7.5     6.2     4.8
2006   9  11   254.35417     6.7     5.7     4.4
2006   9  11   254.39583     7.2     6.2     5.0
2006   9  11   254.43750     5.8     5.0     3.9
2006   9  11   254.47917     6.0     5.2     4.3
2006   9  11   254.52083    29.7    29.1    25.1
2006   9  11   254.56250     5.7     4.9     3.9
2006   9  11   254.60417     6.5     5.7     4.6
2006   9  11   254.64583     5.1     4.4     3.4
2006   9  11   254.68750     6.9     6.1     5.0
2006   9  11   254.72917     4.1     3.4     2.6
2006   9  11   254.77083     6.7     5.8     4.7
2006   9  11   254.81250     5.1     4.3     3.4
2006   9  11   254.85417     8.6     7.3     6.0
2006   9  11   254.89583     5.6     4.8     3.8
2006   9  11   254.93750     6.5     5.7     4.6
2006   9  11   254.97917     5.3     4.6     3.7
2006   9  12   255.02083     8.2     7.0     5.7
2006   9  12   255.06250     8.3     6.8     5.3
2006   9  12   255.10417     7.5     6.5     5.4
2006   9  12   255.14583     6.3     5.3     4.2
2006   9  12   255.18750     9.3     7.8     6.3
2006   9  12   255.22917     6.1     5.2     4.2
2006   9  12   255.27083     7.7     6.5     5.2
2006   9  12   255.31250     9.5     7.9     6.2
2006   9  12   255.35417     7.3     6.1     4.8
2006   9  12   255.39583     7.9     6.5     5.0
2006   9  12   255.43750    18.5    16.1    13.2
2006   9  12   255.47917    16.7    14.0    11.1
2006   9  12   255.52083     8.8     7.1     5.3
2006   9  12   255.56250     9.4     7.5     5.6
2006   9  12   255.60417     9.4     7.4     5.3
2006   9  12   255.64583     9.8     7.8     5.6
2006   9  12   255.68750     9.5     7.5     5.5
2006   9  12   255.72917    11.1     8.9     6.5
2006   9  12   255.77083     9.5     7.4     5.1
2006   9  12   255.81250    15.8    12.5     8.7
2006   9  12   255.85417     6.1     4.7     3.4
2006   9  12   255.89583     9.1     7.6     5.9
2006   9  12   255.93750    10.2     8.0     5.8
2006   9  12   255.97917    12.3     9.8     7.4
2006   9  13   256.02084     7.9     6.3     4.7
2006   9  13   256.06250    10.4     8.4     6.3
2006   9  13   256.10416     6.8     5.4     3.9
2006   9  13   256.14584     8.9     7.2     5.4
2006   9  13   256.18750     7.1     5.7     4.2
2006   9  13   256.22916     5.9     4.8     3.6
2006   9  13   256.27084     3.1     2.5     1.8
2006   9  13   256.31250     1.9     1.6     1.3
2006   9  13   256.35416     0.6     0.5     0.3
2006   9  13   256.39584     1.9     1.6     1.3
2006   9  13   256.43750     0.8     0.6     0.5
2006   9  13   256.47916     0.0    -0.0    -0.1
2006   9  13   256.52084     0.1     0.1     0.1
2006   9  13   256.56250     0.4     0.3     0.2
2006   9  13   256.60416     1.2     1.0     0.8
2006   9  13   256.64584     0.1    -0.0    -0.1
2006   9  13   256.68750    -0.3    -0.2    -0.2
2006   9  13   256.72916     1.3     1.0     0.8
2006   9  13   256.77084     0.0    -0.0    -0.1
2006   9  13   256.81250    -0.3    -0.3    -0.4
2006   9  13   256.85416     0.5     0.4     0.3
2006   9  13   256.89584     1.2     1.0     0.8
2006   9  13   256.93750     0.2     0.1    -0.0
2006   9  13   256.97916     3.7     3.2     2.6
2006   9  14   257.02084     4.7     3.9     3.0
2006   9  14   257.06250    15.7    14.0    11.6
2006   9  14   257.10416    15.1    13.8    11.7
2006   9  14   257.14584    -0.4    -0.5    -0.5
2006   9  14   257.18750     NaN     NaN     NaN
2006   9  14   257.22916     NaN     NaN     NaN
2006   9  14   257.27084     NaN     NaN     NaN
2006   9  14   257.31250     NaN     NaN     NaN
2006   9  14   257.35416     NaN     NaN     NaN
2006   9  14   257.39584     NaN     NaN     NaN
2006   9  14   257.43750     NaN     NaN     NaN
2006   9  14   257.47916     1.6     1.5     1.2
2006   9  14   257.52084     1.9     1.6     1.3
2006   9  14   257.56250     1.4     1.1     0.8
2006   9  14   257.60416     1.8     1.5     1.1
2006   9  14   257.64584     2.0     1.6     1.2
2006   9  14   257.68750     2.8     2.2     1.6
2006   9  14   257.72916     3.1     2.4     1.7
2006   9  14   257.77084     2.9     2.2     1.4
2006   9  14   257.81250     2.8     2.1     1.4
2006   9  14   257.85416    65.3    63.5    59.6
2006   9  14   257.89584   242.1   229.3   207.0
2006   9  14   257.93750    57.3    53.4    47.3
2006   9  14   257.97916    42.6    39.9    35.6
2006   9  15   258.02084     7.6     7.3     7.0
2006   9  15   258.06250     6.9     6.5     6.2
2006   9  15   258.10416     5.4     5.1     4.8
2006   9  15   258.14584     4.6     4.3     4.2
2006   9  15   258.18750     3.4     3.3     3.2
2006   9  15   258.22916     2.9     2.7     2.7
2006   9  15   258.27084     3.0     2.8     2.7
2006   9  15   258.31250     1.3     1.3     1.4
2006   9  15   258.35416     0.5     0.5     0.8
2006   9  15   258.39584     0.2     0.3     0.5
2006   9  15   258.43750    -0.1     0.0     0.3
2006   9  15   258.47916     1.5     1.3     1.1
2006   9  15   258.52084     1.5     1.3     1.0
2006   9  15   258.56250     1.3     1.1     0.9
2006   9  15   258.60416     1.1     0.9     0.7
2006   9  15   258.64584     1.1     0.9     0.7
2006   9  15   258.68750     1.2     1.1     0.8
2006   9  15   258.72916     1.1     0.9     0.7
2006   9  15   258.77084     1.0     0.8     0.6
2006   9  15   258.81250     1.1     0.9     0.7
2006   9  15   258.85416     1.0     0.8     0.6
2006   9  15   258.89584     1.0     0.8     0.6
2006   9  15   258.93750     0.9     0.7     0.5
2006   9  15   258.97916     0.6     0.5     0.3
2006   9  16   259.02084     0.6     0.5     0.3
2006   9  16   259.06250     0.9     0.8     0.6
2006   9  16   259.10416     0.9     0.7     0.5
2006   9  16   259.14584     1.4     1.1     0.8
2006   9  16   259.18750     1.0     0.8     0.5
2006   9  16   259.22916     1.4     1.1     0.8
2006   9  16   259.27084     1.4     1.1     0.8
2006   9  16   259.31250     1.3     1.0     0.7
2006   9  16   259.35416     1.7     1.3     0.9
2006   9  16   259.39584     1.5     1.1     0.8
2006   9  16   259.43750     1.6     1.2     1.0
2006   9  16   259.47916     2.0     1.5     1.2
2006   9  16   259.52084     0.9     0.7     0.4
2006   9  16   259.56250     0.9     0.7     0.5
2006   9  16   259.60416     4.6     3.8     3.0
2006   9  16   259.64584     7.1     5.8     4.4
2006   9  16   259.68750     2.8     2.2     1.6
2006   9  16   259.72916     1.4     1.2     1.0
2006   9  16   259.77084     1.2     0.9     0.7
2006   9  16   259.81250     4.7     3.8     2.9
2006   9  16   259.85416     4.3     3.5     2.8
2006   9  16   259.89584     3.1     2.4     1.9
2006   9  16   259.93750    -0.4    -0.3    -0.3
2006   9  16   259.97916     0.4     0.3     0.2
2006   9  17   260.02084     0.6     0.5     0.3
2006   9  17   260.06250     3.3     2.7     2.1
2006   9  17   260.10416     7.9     6.9     5.8
2006   9  17   260.14584     1.7     1.4     1.1
2006   9  17   260.18750     1.4     1.1     0.9
2006   9  17   260.22916     3.6     2.8     2.1
2006   9  17   260.27084     3.7     3.2     2.5
2006   9  17   260.31250     0.7     0.6     0.5
2006   9  17   260.35416     0.9     0.7     0.6
2006   9  17   260.39584     0.5     0.4     0.3
2006   9  17   260.43750    -0.2    -0.2    -0.2
2006   9  17   260.47916     0.8     0.7     0.6
2006   9  17   260.52084     0.7     0.6     0.5
2006   9  17   260.56250     1.7     1.5     1.2
2006   9  17   260.60416     0.4     0.3     0.3
2006   9  17   260.64584     2.8     2.4     1.9
2006   9  17   260.68750     0.7     0.5     0.4
2006   9  17   260.72916     0.7     0.7     0.6
2006   9  17   260.77084     0.5     0.5     0.4
2006   9  17   260.81250    -0.3    -0.4    -0.3
2006   9  17   260.85416     0.2     0.2     0.1
2006   9  17   260.89584     1.1     1.0     0.9
2006   9  17   260.93750    -0.5    -0.5    -0.5
2006   9  17   260.97916     1.5     1.3     1.1
2006   9  18   261.02084    -0.1    -0.1    -0.2
2006   9  18   261.06250     0.3     0.2     0.2
2006   9  18   261.10416     0.4     0.4     0.3
2006   9  18   261.14584    -0.3    -0.3    -0.3
2006   9  18   261.18750     1.0     0.9     0.8
2006   9  18   261.22916    -0.5    -0.5    -0.5
2006   9  18   261.27084     1.8     1.5     1.3
2006   9  18   261.31250     0.3     0.2     0.1
2006   9  18   261.35416     2.6     2.3     1.9
2006   9  18   261.39584     0.1     0.0    -0.0
2006   9  18   261.43750     0.6     0.6     0.5
2006   9  18   261.47916    -0.1     0.0     0.0
2006   9  18   261.52084     0.3     0.3     0.3
2006   9  18   261.56250     0.5     0.5     0.4
2006   9  18   261.60416     0.1     0.1     0.0
2006   9  18   261.64584     0.6     0.5     0.4
2006   9  18   261.68750     1.1     0.9     0.8
2006   9  18   261.72916     0.7     0.6     0.4
2006   9  18   261.77084     1.2     1.0     0.7
2006   9  18   261.81250     1.2     1.0     0.8
2006   9  18   261.85416     2.2     1.9     1.5
2006   9  18   261.89584     0.9     0.7     0.4
2006   9  18   261.93750     2.2     1.9     1.6
2006   9  18   261.97916     0.8     0.6     0.4
2006   9  19   262.02084     1.3     1.1     0.9
2006   9  19   262.06250     1.6     1.3     1.0
2006   9  19   262.10416     1.0     0.7     0.4
2006   9  19   262.14584     1.9     1.5     1.1
2006   9  19   262.18750     1.3     0.9     0.6
2006   9  19   262.22916     1.0     0.7     0.4
2006   9  19   262.27084     1.7     1.4     1.0
2006   9  19   262.31250     0.8     0.6     0.4
2006   9  19   262.35416     1.2     0.9     0.7
2006   9  19   262.39584     1.1     0.9     0.7
2006   9  19   262.43750     0.7     0.6     0.4
2006   9  19   262.47916     0.8     0.6     0.5
2006   9  19   262.52084     1.5     1.3     1.1
2006   9  19   262.56250     1.0     0.8     0.6
2006   9  19   262.60416     0.1     0.2     0.2
2006   9  19   262.64584     0.8     0.8     0.7
2006   9  19   262.68750     0.8     0.8     0.7
2006   9  19   262.72916     0.7     0.6     0.5
2006   9  19   262.77084     1.3     1.2     1.1
2006   9  19   262.81250     1.4     1.2     1.1
2006   9  19   262.85416    -0.2    -0.3    -0.4
2006   9  19   262.89584     2.2     1.9     1.7
2006   9  19   262.93750     0.9     0.6     0.3
2006   9  19   262.97916     3.2     2.6     2.0
2006   9  20   263.02084     1.9     1.3     0.8
2006   9  20   263.06250     4.6     3.5     2.6
2006   9  20   263.10416     3.6     2.5     1.4
2006   9  20   263.14584     5.2     3.9     2.8
2006   9  20   263.18750     3.4     2.4     1.4
2006   9  20   263.22916     4.0     3.0     2.1
2006   9  20   263.27084     3.2     2.3     1.5
2006   9  20   263.31250     5.6     4.1     2.8
2006   9  20   263.35416     3.3     2.4     1.6
2006   9  20   263.39584     3.1     2.3     1.5
2006   9  20   263.43750     3.7     2.9     2.0
2006   9  20   263.47916     2.3     2.0     1.5
2006   9  20   263.52084     1.7     1.4     1.0
2006   9  20   263.56250     1.6     1.3     1.0
2006   9  20   263.60416     1.6     1.3     1.0
2006   9  20   263.64584     1.3     1.1     0.8
2006   9  20   263.68750     2.1     1.9     1.5
2006   9  20   263.72916     0.9     0.7     0.5
2006   9  20   263.77084     1.5     1.3     1.0
2006   9  20   263.81250     1.6     1.3     1.0
2006   9  20   263.85416     1.7     1.4     1.1
2006   9  20   263.89584     1.3     1.2     1.0
2006   9  20   263.93750     1.6     1.4     1.1
2006   9  20   263.97916     1.1     0.9     0.7
2006   9  21   264.02084     1.1     0.9     0.7
2006   9  21   264.06250     1.3     1.0     0.8
2006   9  21   264.10416     1.3     1.1     0.8
2006   9  21   264.14584     1.3     1.1     0.8
2006   9  21   264.18750     1.1     0.9     0.6
2006   9  21   264.22916     1.4     1.1     0.8
2006   9  21   264.27084     1.3     1.0     0.7
2006   9  21   264.31250     1.9     1.5     1.1
2006   9  21   264.35416     1.3     1.0     0.7
2006   9  21   264.39584     0.7     0.6     0.4
2006   9  21   264.43750     1.3     1.1     0.8
2006   9  21   264.47916     1.5     1.2     0.9
2006   9  21   264.52084     1.6     1.4     1.1
2006   9  21   264.56250     1.0     0.9     0.7
2006   9  21   264.60416     1.0     0.8     0.7
2006   9  21   264.64584     1.1     1.0     0.8
2006   9  21   264.68750     0.9     0.8     0.7
2006   9  21   264.72916     1.1     1.0     0.8
2006   9  21   264.77084     1.0     0.9     0.8
2006   9  21   264.81250     1.0     0.9     0.7
2006   9  21   264.85416     1.0     0.9     0.7
2006   9  21   264.89584     0.8     0.7     0.6
2006   9  21   264.93750     0.6     0.5     0.4
2006   9  21   264.97916     0.7     0.6     0.5
2006   9  22   265.02084     0.6     0.5     0.4
2006   9  22   265.06250     1.2     0.9     0.8
2006   9  22   265.10416     0.8     0.6     0.5
2006   9  22   265.14584     0.7     0.6     0.5
2006   9  22   265.18750     0.5     0.4     0.4
2006   9  22   265.22916     0.5     0.4     0.3
2006   9  22   265.27084     0.5     0.5     0.4
2006   9  22   265.31250     0.4     0.3     0.2
2006   9  22   265.35416     0.5     0.5     0.4
2006   9  22   265.39584     0.5     0.5     0.4
2006   9  22   265.43750     1.6     1.4     1.1
2006   9  22   265.47916    -0.1    -0.1    -0.2
2006   9  22   265.52084     0.9     0.8     0.7
2006   9  22   265.56250     0.5     0.4     0.4
2006   9  22   265.60416     0.6     0.5     0.4
2006   9  22   265.64584     0.4     0.4     0.3
2006   9  22   265.68750     0.5     0.5     0.4
2006   9  22   265.72916     0.6     0.5     0.4
2006   9  22   265.77084     0.5     0.4     0.3
2006   9  22   265.81250     0.6     0.5     0.4
2006   9  22   265.85416     0.5     0.5     0.5
2006   9  22   265.89584     0.4     0.4     0.4
2006   9  22   265.93750     0.5     0.5     0.4
2006   9  22   265.97916     0.6     0.6     0.6
2006   9  23   266.02084     0.3     0.3     0.3
2006   9  23   266.06250     0.5     0.5     0.5
2006   9  23   266.10416     0.3     0.3     0.3
2006   9  23   266.14584     0.4     0.4     0.3
2006   9  23   266.18750     0.4     0.3     0.3
2006   9  23   266.22916     0.5     0.4     0.4
2006   9  23   266.27084     0.3     0.3     0.2
2006   9  23   266.31250     0.5     0.4     0.4
2006   9  23   266.35416     0.4     0.3     0.3
2006   9  23   266.39584     0.4     0.3     0.2
2006   9  23   266.43750     0.4     0.4     0.3
2006   9  23   266.47916     0.5     0.4     0.4
2006   9  23   266.52084     0.4     0.3     0.3
2006   9  23   266.56250     0.4     0.4     0.3
2006   9  23   266.60416     0.4     0.3     0.3
2006   9  23   266.64584     0.5     0.4     0.3
2006   9  23   266.68750     0.3     0.2     0.2
2006   9  23   266.72916     0.2     0.1     0.1
2006   9  23   266.77084     0.3     0.3     0.3
2006   9  23   266.81250     0.3     0.3     0.2
2006   9  23   266.85416     0.3     0.3     0.3
2006   9  23   266.89584     0.2     0.2     0.2
2006   9  23   266.93750     0.2     0.2     0.2
2006   9  23   266.97916     0.1     0.1     0.1
2006   9  24   267.02084     0.3     0.3     0.3
2006   9  24   267.06250     0.2     0.2     0.2
2006   9  24   267.10416     0.2     0.2     0.2
2006   9  24   267.14584     0.1     0.1     0.1
2006   9  24   267.18750     0.4     0.4     0.3
2006   9  24   267.22916     0.2     0.2     0.2
2006   9  24   267.27084     0.3     0.2     0.2
2006   9  24   267.31250     0.3     0.3     0.3
2006   9  24   267.35416     0.4     0.3     0.3
2006   9  24   267.39584     0.5     0.5     0.4
2006   9  24   267.43750     0.4     0.4     0.3
2006   9  24   267.47916     0.6     0.5     0.4
2006   9  24   267.52084     0.8     0.7     0.6
2006   9  24   267.56250     0.8     0.7     0.6
2006   9  24   267.60416     0.7     0.6     0.5
2006   9  24   267.64584     0.8     0.7     0.6
2006   9  24   267.68750     1.7     1.5     1.2
2006   9  24   267.72916     0.9     0.8     0.6
2006   9  24   267.77084     1.3     1.2     1.0
2006   9  24   267.81250     2.2     2.0     1.6
2006   9  24   267.85416     4.4     4.0     3.3
2006   9  24   267.89584     0.6     0.5     0.4
2006   9  24   267.93750     1.9     1.7     1.4
2006   9  24   267.97916     0.8     0.7     0.6
2006   9  25   268.02084     0.5     0.4     0.4
2006   9  25   268.06250     0.4     0.4     0.3
2006   9  25   268.10416     0.6     0.5     0.4
2006   9  25   268.14584     0.5     0.5     0.4
2006   9  25   268.18750     0.3     0.2     0.2
2006   9  25   268.22916     0.2     0.2     0.2
2006   9  25   268.27084     0.1     0.1     0.1
2006   9  25   268.31250     0.4     0.3     0.3
2006   9  25   268.35416     0.5     0.4     0.4
2006   9  25   268.39584     0.2     0.2     0.2
2006   9  25   268.43750     0.6     0.6     0.5
2006   9  25   268.47916     0.3     0.3     0.3
2006   9  25   268.52084     NaN     NaN     NaN
2006   9  25   268.56250     NaN     NaN     NaN
2006   9  25   268.60416     NaN     NaN     NaN
2006   9  25   268.64584     NaN     NaN     NaN
2006   9  25   268.68750     NaN     NaN     NaN
2006   9  25   268.72916     NaN     NaN     NaN
2006   9  25   268.77084     NaN     NaN     NaN
2006   9  25   268.81250     NaN     NaN     NaN
2006   9  25   268.85416     NaN     NaN     NaN
2006   9  25   268.89584     NaN     NaN     NaN
2006   9  25   268.93750     NaN     NaN     NaN
2006   9  25   268.97916     NaN     NaN     NaN
2006   9  26   269.02084     NaN     NaN     NaN
2006   9  26   269.06250     NaN     NaN     NaN
2006   9  26   269.10416     NaN     NaN     NaN
2006   9  26   269.14584     NaN     NaN     NaN
2006   9  26   269.18750     NaN     NaN     NaN
2006   9  26   269.22916     NaN     NaN     NaN
2006   9  26   269.27084     NaN     NaN     NaN
2006   9  26   269.31250     NaN     NaN     NaN
2006   9  26   269.35416     NaN     NaN     NaN
2006   9  26   269.39584     NaN     NaN     NaN
2006   9  26   269.43750     NaN     NaN     NaN
2006   9  26   269.47916     NaN     NaN     NaN
2006   9  26   269.52084     NaN     NaN     NaN
2006   9  26   269.56250     NaN     NaN     NaN
2006   9  26   269.60416     NaN     NaN     NaN
2006   9  26   269.64584     NaN     NaN     NaN
2006   9  26   269.68750     NaN     NaN     NaN
2006   9  26   269.72916     NaN     NaN     NaN
2006   9  26   269.77084     NaN     NaN     NaN
2006   9  26   269.81250     NaN     NaN     NaN
2006   9  26   269.85416     NaN     NaN     NaN
2006   9  26   269.89584     1.3     1.1     1.0
2006   9  26   269.93750     0.7     0.7     0.6
2006   9  26   269.97916     0.7     0.7     0.6
2006   9  27   270.02084     1.4     1.3     1.1
2006   9  27   270.06250     1.0     1.0     0.8
2006   9  27   270.10416     0.9     0.8     0.6
2006   9  27   270.14584     1.1     1.0     0.8
2006   9  27   270.18750     0.8     0.6     0.5
2006   9  27   270.22916     1.1     0.9     0.8
2006   9  27   270.27084     0.8     0.7     0.5
2006   9  27   270.31250     1.2     1.0     0.8
2006   9  27   270.35416     1.2     1.0     0.8
2006   9  27   270.39584     1.0     0.8     0.6
2006   9  27   270.43750     1.2     1.0     0.7
2006   9  27   270.47916     1.3     1.0     0.8
2006   9  27   270.52084     1.3     1.1     0.8
2006   9  27   270.56250     1.2     0.9     0.7
2006   9  27   270.60416     1.4     1.1     0.8
2006   9  27   270.64584     1.4     1.1     0.8
2006   9  27   270.68750     1.1     0.8     0.6
2006   9  27   270.72916     1.5     1.1     0.8
2006   9  27   270.77084     1.6     1.1     0.6
2006   9  27   270.81250     1.4     1.0     0.7
2006   9  27   270.85416     1.2     0.9     0.7
2006   9  27   270.89584     1.6     1.2     0.9
2006   9  27   270.93750     2.0     1.7     1.3
2006   9  27   270.97916     2.9     2.2     1.7
2006   9  28   271.02084     1.7     1.4     1.0
2006   9  28   271.06250     1.3     1.0     0.7
2006   9  28   271.10416     1.9     1.3     0.9
2006   9  28   271.14584     1.5     1.0     0.5
2006   9  28   271.18750     1.9     1.4     1.0
2006   9  28   271.22916     1.5     1.2     0.8
2006   9  28   271.27084     1.6     1.3     0.9
2006   9  28   271.31250     1.3     1.0     0.7
2006   9  28   271.35416     1.3     0.9     0.6
2006   9  28   271.39584     3.5     2.5     1.7
2006   9  28   271.43750     NaN     NaN     NaN
2006   9  28   271.47916     NaN     NaN     NaN
2006   9  28   271.52084     NaN     NaN     NaN
2006   9  28   271.56250     NaN     NaN     NaN
2006   9  28   271.60416     NaN     NaN     NaN
2006   9  28   271.64584     NaN     NaN     NaN
2006   9  28   271.68750     NaN     NaN     NaN
2006   9  28   271.72916     NaN     NaN     NaN
2006   9  28   271.77084     NaN     NaN     NaN
2006   9  28   271.81250     NaN     NaN     NaN
2006   9  28   271.85416     NaN     NaN     NaN
2006   9  28   271.89584     NaN     NaN     NaN
2006   9  28   271.93750     NaN     NaN     NaN
2006   9  28   271.97916     NaN     NaN     NaN
