PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Aerosol Scattering Coefficients
Instrument: TSI 3-Wavelength Nephelometer
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Preliminary
Units:
   Scattering Coeff.: Mm^-1 
   Angstrom Exponent: non-dimensional
   Relative Humidity: fraction
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

 DoY(UTC)      Ksca_450nm  Ksca_550nm  Ksca_700nm   Ang.Exp.    RH
 250.47917         NaN         NaN         NaN         NaN      NaN
 250.52083         NaN         NaN         NaN         NaN      NaN
 250.56250         NaN         NaN         NaN         NaN      NaN
 250.60417         NaN         NaN         NaN         NaN      NaN
 250.64583         NaN         NaN         NaN         NaN      NaN
 250.68750         NaN         NaN         NaN         NaN      NaN
 250.72917         NaN         NaN         NaN         NaN      NaN
 250.77083         NaN         NaN         NaN         NaN      NaN
 250.81250         NaN         NaN         NaN         NaN      NaN
 250.85417         NaN         NaN         NaN         NaN      NaN
 250.89583         NaN         NaN         NaN         NaN      NaN
 250.93750         NaN         NaN         NaN         NaN      NaN
 250.97917         NaN         NaN         NaN         NaN      NaN
 251.02083         NaN         NaN         NaN         NaN      NaN
 251.06250         NaN         NaN         NaN         NaN      NaN
 251.10417         NaN         NaN         NaN         NaN      NaN
 251.14583         NaN         NaN         NaN         NaN      NaN
 251.18750         NaN         NaN         NaN         NaN      NaN
 251.22917         NaN         NaN         NaN         NaN      NaN
 251.27083         NaN         NaN         NaN         NaN      NaN
 251.31250         NaN         NaN         NaN         NaN      NaN
 251.35417         NaN         NaN         NaN         NaN      NaN
 251.39583         NaN         NaN         NaN         NaN      NaN
 251.43750         NaN         NaN         NaN         NaN      NaN
 251.47917         NaN         NaN         NaN         NaN      NaN
 251.52083         NaN         NaN         NaN         NaN      NaN
 251.56250         NaN         NaN         NaN         NaN      NaN
 251.60417         NaN         NaN         NaN         NaN      NaN
 251.64583         NaN         NaN         NaN         NaN      NaN
 251.68750         NaN         NaN         NaN         NaN      NaN
 251.72917    56.80000    45.46250    35.72500     1.04946    0.748
 251.77083    56.25000    44.96667    35.38334     1.04919    0.732
 251.81250    56.86000    45.14000    35.27000     1.08086    0.737
 251.85417    56.53333    45.14167    35.43333     1.05736    0.742
 251.89583    58.26000    46.47000    36.55000     1.05523    0.743
 251.93750    56.13333    44.90833    35.63333     1.02855    0.735
 251.97917    54.75455    43.59091    34.59091     1.03946    0.731
 252.02083    53.40909    42.74545    33.90909     1.02821    0.726
 252.06250    53.53637    43.04545    34.36364     1.00346    0.732
 252.10417    53.81818    43.56364    34.90909     0.97970    0.741
 252.14583    55.38182    45.26364    36.78182     0.92625    0.740
 252.18750    57.65834    47.37500    38.69167     0.90285    0.733
 252.22917    60.45000    50.69000    42.40000     0.80272    0.745
 252.27083    62.76667    52.82500    44.48333     0.77928    0.756
 252.31250    66.03637    56.83636    48.45454     0.70067    0.756
 252.35417    68.72500    60.38333    52.21667     0.62175    0.760
 252.39583    73.20000    64.40909    56.42727     0.58901    0.771
 252.43750    66.89167    60.66667    54.52500     0.46265    0.755
 252.47917    51.35556    47.32222    43.23333     0.38965    0.757
 252.52083    44.53333    40.72500    37.04166     0.41689    0.754
 252.56250    32.94545    30.57273    28.06364     0.36298    0.768
 252.60417    28.52500    26.65833    24.61667     0.33351    0.767
 252.64583    28.25455    26.62727    24.36364     0.33534    0.784
 252.68750    27.65833    25.82500    23.56667     0.36234    0.817
 252.72917    22.44000    20.82000    18.79000     0.40178    0.787
 252.77083    27.25833    25.22500    22.55000     0.42918    0.793
 252.81250    31.63333    28.68889    25.72222     0.46818    0.804
 252.85417    26.17500    23.83333    21.40000     0.45586    0.800
 252.89583    23.18182    21.07273    18.82727     0.47091    0.798
 252.93750    24.49167    22.16666    19.76667     0.48511    0.799
 252.97917    22.69091    20.09091    17.90000     0.53677    0.811
 253.02083         NaN         NaN         NaN         NaN      NaN
 253.06250         NaN         NaN         NaN         NaN      NaN
 253.10417         NaN         NaN         NaN         NaN      NaN
 253.14583         NaN         NaN         NaN         NaN      NaN
 253.18750         NaN         NaN         NaN         NaN      NaN
 253.22917         NaN         NaN         NaN         NaN      NaN
 253.27083         NaN         NaN         NaN         NaN      NaN
 253.31250         NaN         NaN         NaN         NaN      NaN
 253.35417         NaN         NaN         NaN         NaN      NaN
 253.39583         NaN         NaN         NaN         NaN      NaN
 253.43750     9.14800     8.64400     8.16400     0.25757    0.811
 253.47917     9.76636     8.55273     8.20455     0.39439    0.819
 253.52083    10.08833     8.86167     8.29583     0.44276    0.824
 253.56250    10.85000     9.82400     8.82000     0.46883    0.834
 253.60417    14.00000    12.29167    10.91333     0.56372    0.845
 253.64583    35.43000    33.73000    31.41000     0.27257    0.857
 253.68750    39.16666    37.50000    35.23333     0.23953    0.854
 253.72917    36.02727    34.35454    32.32727     0.24526    0.855
 253.77083    34.16667    33.05833    31.30833     0.19774    0.857
 253.81250    34.24546    32.60000    30.61818     0.25340    0.855
 253.85417    72.29166    64.74167    55.72500     0.58909    0.852
 253.89583    75.43636    68.10909    59.15455     0.55029    0.839
 253.93750    35.46667    33.07500    30.59167     0.33466    0.856
 253.97917    37.78182    34.24546    30.79091     0.46309    0.870
 254.02083    38.17000    35.02000    31.48000     0.43613    0.866
 254.06250    36.67273    33.90000    30.42727     0.42254    0.856
 254.10417    66.51666    59.94167    52.34167     0.54242    0.842
 254.14583    90.77273    81.30909    70.75455     0.56388    0.829
 254.18750    89.68333    78.90833    67.67500     0.63727    0.812
 254.22917    91.46363    78.72727    66.05455     0.73661    0.809
 254.27083    95.10833    80.78333    66.53333     0.80871    0.817
 254.31250    99.65454    83.68182    67.95454     0.86655    0.806
 254.35417   106.33333    88.89166    71.63334     0.89404    0.807
 254.39583    99.80909    82.87273    66.35455     0.92399    0.775
 254.43750    95.05000    78.95834    63.42500     0.91561    0.753
 254.47917    96.50001    79.43636    64.35455     0.91694    0.765
 254.52083    97.43333    81.12500    66.64167     0.85969    0.779
 254.56250    96.71999    82.12000    68.43000     0.78312    0.793
 254.60417   101.39999    86.93333    73.23334     0.73653    0.812
 254.64583   103.80000    89.81001    76.25000     0.69811    0.824
 254.68750   104.41666    90.12499    76.87499     0.69304    0.827
 254.72917   104.54546    90.09090    76.79091     0.69831    0.822
 254.77083   106.41666    91.85000    78.84167     0.67881    0.822
 254.81250   100.87272    86.68182    74.00909     0.70088    0.816
 254.85417   123.78333   106.18334    89.61667     0.73103    0.824
 254.89583   121.18182   104.91817    89.35455     0.68958    0.829
 254.93750   115.25001   101.10001    88.02500     0.60992    0.823
 254.97917   104.60001    92.62727    82.56364     0.53544    0.817
 255.02083   124.99999   110.62001    97.40000     0.56466    0.819
 255.06250   170.54546   152.10001   131.73636     0.58438    0.822
 255.10417   118.75000   103.73334    89.90833     0.62972    0.829
 255.14583   135.18182   118.13636   102.32727     0.63020    0.835
 255.18750   173.91667   152.00000   131.00000     0.64137    0.838
 255.22917   132.54546   116.09092   101.09090     0.61314    0.842
 255.27083   142.41667   124.75001   108.61667     0.61320    0.842
 255.31250   194.90909   172.18181   148.74545     0.61176    0.836
 255.35417   129.75000   115.58333   103.08333     0.52072    0.840
 255.39583   126.36364   114.81819   104.54546     0.42899    0.824
 255.43750   137.27272   124.36364   112.90910     0.44222    0.814
 255.47917   162.36363   144.54546   129.00000     0.52062    0.824
 255.52083   128.41667   120.41667   112.50001     0.29950    0.827
 255.56250   129.54546   121.54545   114.36364     0.28212    0.826
 255.60417   134.49998   127.08333   119.66666     0.26448    0.851
 255.64583   131.63637   122.00000   113.45455     0.33642    0.837
 255.68750   134.66667   123.58334   113.33334     0.39035    0.848
 255.72917   139.36363   129.54546   120.72727     0.32490    0.865
 255.77083   142.33333   131.16667   120.83334     0.37064    0.872
 255.81250   164.63637   145.81818   128.45454     0.56167    0.882
 255.85417   110.41666   100.23333    89.63334     0.47197    0.892
 255.89583    97.08182    84.71818    71.56364     0.69023    0.889
 255.93750   138.41667   119.05833    98.04166     0.78056    0.885
 255.97917   139.90001   118.89999    96.05000     0.85113    0.887
 256.02084   103.34999    86.75999    69.68000     0.89221    0.880
 256.06250   115.65455    99.03637    81.71818     0.78611    0.882
 256.10416   102.38334    86.54166    69.99166     0.86084    0.880
 256.14584   103.28181    87.13636    70.11818     0.87653    0.876
 256.18750    92.58333    79.03333    64.36666     0.82274    0.874
 256.22916    78.30909    67.30909    55.58182     0.77588    0.880
 256.27084    53.02500    45.20000    37.10833     0.80782    0.875
 256.31250    18.86364    15.76364    13.42727     0.76940    0.871
 256.35416    16.24167    14.45833    13.27500     0.45650    0.867
 256.39584    16.67273    15.49091    14.55455     0.30752    0.861
 256.43750    12.66750    11.72833    10.97583     0.32443    0.842
 256.47916     7.41500     6.98600     6.31700     0.36272    0.817
 256.52084     4.56182     4.64000     4.59000    -0.01394    0.774
 256.56250     6.66818     6.73636     6.76727    -0.03339    0.784
 256.60416    10.51167    10.52083    10.75333    -0.05144    0.831
 256.64584    12.30000    12.10909    12.61818    -0.05780    0.844
 256.68750    11.47250    11.04500    11.50000    -0.00542    0.872
 256.72916    14.17273    14.12727    14.34545    -0.02742    0.873
 256.77084    15.68333    14.95000    14.64167     0.15555    0.875
 256.81250    16.69091    16.79091    16.67273     0.00247    0.869
 256.85416    18.08333    17.67500    17.44167     0.08177    0.860
 256.89584    18.83636    18.32727    17.97273     0.10623    0.860
 256.93750    14.46667    14.26667    13.88333     0.09315    0.834
 256.97916    10.48200    10.09100     9.44000     0.23698    0.788
 257.02084    16.75900    15.69400    14.25300     0.36658    0.796
 257.06250    17.93636    16.34546    14.31818     0.50992    0.784
 257.10416    19.58333    18.67500    17.10833     0.30580    0.798
 257.14584   109.87273    98.22727    84.54546     0.59306    0.825
 257.18750   180.15834   158.05833   134.88333     0.65506    0.835
 257.22916   180.70001   162.03638   141.13637     0.55929    0.825
 257.27084   154.44168   139.73332   123.20833     0.51137    0.809
 257.31250    85.81818    79.59091    71.49091     0.41342    0.798
 257.35416   111.16667   102.30834    92.00833     0.42811    0.798
 257.39584    45.97000    42.91000    40.93000     0.26283    0.780
 257.43750    43.21667    40.11666    37.99167     0.29165    0.763
 257.47916    41.67000    39.61000    37.51000     0.23804    0.758
 257.52084    40.13334    38.61667    37.06667     0.17991    0.746
 257.56250    39.99091    38.03636    36.90909     0.18150    0.736
 257.60416    44.22500    40.87500    38.55000     0.31083    0.739
 257.64584    45.20000    43.35455    41.99091     0.16668    0.730
 257.68750    48.60000    47.69167    46.73333     0.08864    0.721
 257.72916    50.50000    49.95454    49.74545     0.03407    0.737
 257.77084    49.84167    49.36666    49.28334     0.02550    0.747
 257.81250    48.08182    47.23637    46.40909     0.08014    0.746
 257.85416    79.32500    76.29166    71.78333     0.22611    0.746
 257.89584   151.27274   138.76363   121.27273     0.50029    0.741
 257.93750    71.81667    66.83333    60.36666     0.39309    0.737
 257.97916    62.18000    58.52000    54.43000     0.30129    0.726
 258.02084    44.66000    44.88000    45.03000    -0.01867    0.730
 258.06250    43.04545    43.94546    44.65454    -0.08306    0.719
 258.10416    42.15834    42.80000    43.46667    -0.06917    0.715
 258.14584    42.80000    42.95454    43.05454    -0.01342    0.711
 258.18750    42.10833    41.99166    42.02500     0.00448    0.702
 258.22916    41.75455    42.17273    42.49091    -0.03957    0.701
 258.27084    42.27500    42.83333    42.96667    -0.03673    0.700
 258.31250    40.78181    40.71818    40.62727     0.00859    0.706
 258.35416    36.43333    36.23333    36.14166     0.01819    0.710
 258.39584    36.14000    35.87000    35.63000     0.03217    0.696
 258.43750    34.62727    34.15454    34.00000     0.04138    0.684
 258.47916    33.20000    32.56364    32.12727     0.07434    0.661
 258.52084    35.25834    34.37500    33.70833     0.10175    0.683
 258.56250    31.55454    30.99091    30.60000     0.06952    0.682
 258.60416    29.12500    28.80000    28.83333     0.02278    0.695
 258.64584    28.38182    27.90909    27.58182     0.06471    0.698
 258.68750    28.50833    28.10000    27.90833     0.04814    0.701
 258.72916    29.65455    29.23636    29.22727     0.03285    0.723
 258.77084    31.63334    31.29167    31.28333     0.02518    0.730
 258.81250    32.96000    32.86000    33.03000    -0.00480    0.734
 258.85416    32.80000    32.83333    32.89167    -0.00632    0.739
 258.89584    31.59000    31.68000    31.86000    -0.01926    0.741
 258.93750    30.98333    30.81667    30.80833     0.01282    0.743
 258.97916    30.37273    30.07273    30.12727     0.01837    0.747
 259.02084    31.08182    30.58182    30.33636     0.05494    0.749
 259.06250    32.74545    31.50000    30.78181     0.13996    0.749
 259.10416    35.70833    33.40833    31.93333     0.25289    0.755
 259.14584    38.62727    35.75455    33.93636     0.29303    0.758
 259.18750    37.45833    35.25834    33.91667     0.22480    0.763
 259.22916    38.08182    35.62727    34.16363     0.24574    0.762
 259.27084    38.85000    36.23333    34.87500     0.24430    0.769
 259.31250    40.77000    38.52000    37.46000     0.19164    0.772
 259.35416    41.60000    39.34546    38.26363     0.18921    0.779
 259.39584    41.04546    39.20000    38.40000     0.15079    0.781
 259.43750    40.70000    39.27500    38.45000     0.12871    0.782
 259.47916    37.10909    35.73636    34.60909     0.15786    0.770
 259.52084    36.95000    36.17500    35.87500     0.06682    0.805
 259.56250    31.52727    31.89091    32.18182    -0.04651    0.764
 259.60416    41.18333    38.80000    36.51667     0.27220    0.740
 259.64584    82.04545    70.76363    60.70000     0.68200    0.741
 259.68750    58.25750    51.94500    45.28250     0.57024    0.791
 259.72916    28.36455    26.86364    25.02727     0.28331    0.776
 259.77084    25.73083    23.99583    21.43667     0.41325    0.796
 259.81250    85.83000    76.57000    65.18000     0.62290    0.787
 259.85416    64.68182    58.73636    51.15454     0.53104    0.793
 259.89584    73.83091    67.44727    58.24636     0.53662    0.802
 259.93750     7.90333     8.40000     8.26167    -0.10036    0.781
 259.97916    10.96273    11.12727    10.71727     0.05125    0.773
 260.02084    17.38182    17.39091    16.68182     0.09303    0.778
 260.06250    41.88909    37.36364    32.40545     0.58099    0.772
 260.10416    54.53333    50.60833    44.52500     0.45891    0.765
 260.14584    14.56727    14.02182    13.50909     0.17069    0.791
 260.18750    28.94083    25.98333    22.28333     0.59166    0.796
 260.22916    52.96000    49.17000    43.35000     0.45318    0.787
 260.27084    18.73333    18.37500    17.59167     0.14231    0.779
 260.31250    12.34300    12.40500    12.07500     0.04968    0.778
 260.35416    19.20750    18.56417    17.22500     0.24656    0.801
 260.39584    10.70000    10.52091    10.52727     0.03683    0.784
 260.43750     7.56333     7.48083     7.50667     0.01702    0.777
 260.47916    10.48636    10.40273    10.27000     0.04719    0.780
 260.52084    11.61667    11.46667    11.30833     0.06088    0.796
 260.56250    16.24545    15.71818    15.45455     0.11296    0.826
 260.60416    14.75000    14.21667    14.14167     0.09532    0.812
 260.64584    18.46364    17.38182    16.93636     0.19541    0.849
 260.68750    12.11667    11.36667    11.40833     0.13634    0.827
 260.72916    10.98000    10.51000    10.48000     0.10549    0.825
 260.77084    12.07500    11.71667    11.64167     0.08272    0.840
 260.81250    12.09000    11.72000    11.48000     0.11718    0.849
 260.85416    12.16667    11.55833    11.10833     0.20597    0.865
 260.89584    12.80909    11.86364    11.23636     0.29649    0.853
 260.93750    13.50833    12.30833    11.60833     0.34308    0.843
 260.97916    14.56364    13.00909    11.94545     0.44853    0.849
 261.02084         NaN         NaN         NaN         NaN      NaN
 261.06250         NaN         NaN         NaN         NaN      NaN
 261.10416         NaN         NaN         NaN         NaN      NaN
 261.14584         NaN         NaN         NaN         NaN      NaN
 261.18750         NaN         NaN         NaN         NaN      NaN
 261.22916         NaN         NaN         NaN         NaN      NaN
 261.27084         NaN         NaN         NaN         NaN      NaN
 261.31250         NaN         NaN         NaN         NaN      NaN
 261.35416         NaN         NaN         NaN         NaN      NaN
 261.39584         NaN         NaN         NaN         NaN      NaN
 261.43750         NaN         NaN         NaN         NaN      NaN
 261.47916         NaN         NaN         NaN         NaN      NaN
 261.52084         NaN         NaN         NaN         NaN      NaN
 261.56250         NaN         NaN         NaN         NaN      NaN
 261.60416         NaN         NaN         NaN         NaN      NaN
 261.64584         NaN         NaN         NaN         NaN      NaN
 261.68750         NaN         NaN         NaN         NaN      NaN
 261.72916         NaN         NaN         NaN         NaN      NaN
 261.77084         NaN         NaN         NaN         NaN      NaN
 261.81250    25.00000    22.62000    20.90000     0.40542    0.822
 261.85416    26.64167    25.20833    24.64167     0.17662    0.808
 261.89584    30.10000    28.78182    28.08182     0.15708    0.818
 261.93750    32.88334    31.22500    30.39167     0.17834    0.832
 261.97916    39.22728    37.77273    37.30909     0.11347    0.833
 262.02084    39.20000    38.36364    37.95454     0.07308    0.824
 262.06250    39.12000    38.52000    38.23000     0.05209    0.809
 262.10416    40.64167    40.49167    40.40833     0.01303    0.807
 262.14584    42.91818    42.80000    42.49091     0.02265    0.809
 262.18750    46.44545    45.90000    45.40000     0.05153    0.810
 262.22916    48.89091    47.99091    47.80909     0.05064    0.813
 262.27084    49.17500    48.42500    48.23333     0.04376    0.813
 262.31250    49.97273    49.45454    49.23636     0.03360    0.803
 262.35416    51.33333    50.44167    49.93334     0.06258    0.807
 262.39584    54.56363    52.89091    52.38182     0.09236    0.804
 262.43750    56.88000    55.26000    54.55000     0.09467    0.816
 262.47916    57.91000    56.02000    55.39000     0.10070    0.815
 262.52084    58.75834    56.80833    55.90000     0.11287    0.821
 262.56250    62.17000    60.44000    60.11000     0.07626    0.829
 262.60416    61.82500    60.66667    60.54167     0.04747    0.828
 262.64584    60.05455    58.86364    58.62728     0.05444    0.835
 262.68750    60.88333    60.08333    60.19167     0.02586    0.838
 262.72916    61.81818    61.20909    61.39091     0.01570    0.841
 262.77084    63.03333    62.40833    62.75833     0.00990    0.864
 262.81250    68.90909    67.29091    67.33636     0.05225    0.888
 262.85416    74.71667    72.70833    72.50000     0.06816    0.866
 262.89584    77.09091    75.28182    74.70000     0.07131    0.848
 262.93750    72.76667    70.91667    70.42500     0.07403    0.845
 262.97916    80.18182    76.95454    75.02728     0.15039    0.853
 263.02084    85.85000    81.94000    78.52000     0.20200    0.858
 263.06250   101.00000    94.84545    88.38182     0.30205    0.859
 263.10416    88.27500    84.45834    80.42500     0.21079    0.842
 263.14584   112.64545   105.20000    96.20909     0.35697    0.847
 263.18750   107.58333   101.69167    93.31667     0.32199    0.849
 263.22916    81.31818    78.50909    74.41818     0.20069    0.841
 263.27084    89.30000    84.16667    77.05833     0.33370    0.845
 263.31250   122.97272   114.62727   103.54546     0.38918    0.842
 263.35416    74.30833    72.93333    71.32500     0.09274    0.856
 263.39584    65.62727    64.42728    63.26364     0.08302    0.823
 263.43750    60.11667    59.00000    58.09167     0.07755    0.805
 263.47916    58.98182    58.61818    58.21818     0.02949    0.819
 263.52084    55.30833    55.56667    55.51667    -0.00851    0.823
 263.56250    54.64545    54.37273    54.12727     0.02156    0.813
 263.60416    57.20000    56.43333    56.23333     0.03858    0.830
 263.64584    53.64000    51.72000    50.55000     0.13429    0.818
 263.68750    52.90000    50.25000    48.69167     0.18762    0.827
 263.72916    52.68000    49.25000    46.76000     0.26980    0.826
 263.77084    49.48333    45.97500    43.36667     0.29863    0.832
 263.81250    49.84000    45.56000    42.83000     0.34307    0.836
 263.85416    49.01667    44.78333    42.10000     0.34428    0.838
 263.89584    47.80000    43.77273    41.08182     0.34280    0.833
 263.93750    45.12500    41.60833    39.19167     0.31906    0.818
 263.97916    43.29091    40.66364    38.57273     0.26118    0.809
 264.02084    40.76364    37.73636    35.71818     0.29905    0.803
 264.06250    40.87273    36.64545    33.61818     0.44224    0.789
 264.10416    38.38334    34.53334    31.79167     0.42645    0.787
 264.14584    37.60909    33.45455    30.28182     0.49045    0.778
 264.18750    38.70000    33.66667    29.73333     0.59654    0.773
 264.22916    39.15455    33.57273    29.62727     0.63106    0.756
 264.27084    40.69167    35.85000    31.90000     0.55093    0.740
 264.31250    41.23636    37.11818    33.52728     0.46842    0.731
 264.35416    34.17500    31.35833    28.77500     0.38926    0.734
 264.39584    25.96364    23.64545    21.98182     0.37680    0.716
 264.43750    32.04000    28.49000    25.54000     0.51318    0.698
 264.47916         NaN         NaN         NaN         NaN      NaN
 264.52084    32.05714    29.82857    27.58571     0.34000    0.696
 264.56250    27.54545    25.01818    23.26364     0.38238    0.689
 264.60416    25.11666    22.74166    20.95833     0.40965    0.689
 264.64584    27.09091    23.54545    21.05455     0.57054    0.689
 264.68750    27.12500    22.76667    19.85000     0.70672    0.696
 264.72916    29.26364    24.35455    21.04545     0.74612    0.703
 264.77084    32.00834    26.00833    21.81667     0.86757    0.709
 264.81250    31.85455    26.27273    22.10000     0.82747    0.711
 264.85416    35.58333    29.92500    25.30000     0.77195    0.714
 264.89584    32.81818    27.80909    23.66364     0.74020    0.706
 264.93750    26.99166    23.09167    20.01667     0.67664    0.695
 264.97916    28.06364    24.46364    21.27273     0.62704    0.688
 265.02084    23.63000    20.69000    18.16000     0.59592    0.681
 265.06250    36.94545    32.21818    28.24545     0.60772    0.677
 265.10416    28.30833    24.32500    21.30833     0.64291    0.679
 265.14584    29.79091    24.70909    21.15454     0.77484    0.669
 265.18750    29.55000    23.65000    19.52500     0.93788    0.662
 265.22916    22.32727    19.29091    17.00909     0.61576    0.663
 265.27084    19.90000    16.97500    14.72500     0.68164    0.656
 265.31250    18.01818    15.69091    13.90000     0.58731    0.652
 265.35416    16.60833    14.53333    12.99167     0.55586    0.649
 265.39584    16.38182    14.48182    13.15454     0.49658    0.639
 265.43750    17.45833    15.64167    14.19167     0.46887    0.641
 265.47916    14.35636    12.87818    11.92364     0.42023    0.616
 265.52084    15.55833    13.98333    12.83333     0.43580    0.645
 265.56250    15.98182    14.37273    13.14545     0.44219    0.648
 265.60416    18.90833    16.19167    14.25833     0.63884    0.657
 265.64584    17.20000    14.99091    13.61818     0.52849    0.656
 265.68750    17.77500    15.50833    14.39167     0.47788    0.656
 265.72916    17.69091    16.00000    14.73636     0.41358    0.662
 265.77084    19.03333    16.84167    15.37500     0.48310    0.671
 265.81250    19.45000    16.99000    15.24000     0.55207    0.660
 265.85416    19.13333    16.71667    15.08333     0.53831    0.662
 265.89584    18.28000    16.04000    14.60000     0.50876    0.665
 265.93750    20.74167    17.24167    14.80000     0.76390    0.652
 265.97916    28.95000    22.48000    17.70000     1.11356    0.652
 266.02084    21.48182    17.32727    14.43636     0.89956    0.644
 266.06250    20.05455    16.89091    14.28182     0.76832    0.641
 266.10416    17.78333    15.20833    12.95833     0.71639    0.637
 266.14584    18.16364    14.80000    12.45455     0.85402    0.633
 266.18750    15.02500    12.77500    11.25833     0.65320    0.625
 266.22916    12.83636    11.02273     9.70182     0.63365    0.607
 266.27084    11.38333     9.76917     8.85000     0.56975    0.600
 266.31250    11.52727     9.40545     8.34273     0.73178    0.600
 266.35416    10.90833     8.88750     7.71000     0.78538    0.597
 266.39584     9.78454     8.51000     7.33000     0.65371    0.589
 266.43750     9.89917     8.68333     7.43750     0.64711    0.588
 266.47916    11.15455     9.04000     7.91182     0.77742    0.593
 266.52084    10.26333     8.81250     7.92833     0.58424    0.603
 266.56250    10.70909     9.45091     8.55818     0.50744    0.623
 266.60416    10.74417     9.32417     8.38833     0.56021    0.617
 266.64584    11.05000     9.42400     8.51100     0.59088    0.621
 266.68750    10.58333     8.90583     7.94250     0.64969    0.628
 266.72916    10.62700     9.35300     8.40400     0.53117    0.634
 266.77084    10.44250     9.15417     8.17583     0.55383    0.631
 266.81250    10.46273     9.03364     8.32000     0.51865    0.643
 266.85416    11.26364     9.84636     8.97455     0.51419    0.658
 266.89584    10.80000     9.83091     8.72636     0.48253    0.662
 266.93750    10.00250     9.24333     8.14250     0.46565    0.644
 266.97916     8.86273     7.83455     7.04818     0.51849    0.629
 267.02084     8.68636     7.61818     6.77091     0.56383    0.623
 267.06250     9.37636     8.08545     7.11909     0.62334    0.638
 267.10416     9.11333     7.85083     6.84833     0.64670    0.635
 267.14584     9.12818     7.63636     6.89727     0.63427    0.625
 267.18750     8.74750     7.22917     6.40417     0.70574    0.613
 267.22916     8.73273     7.54545     6.61000     0.63032    0.623
 267.27084     8.36250     7.05667     5.99750     0.75235    0.630
 267.31250     9.17091     7.60091     6.44091     0.79977    0.630
 267.35416    10.33917     8.70583     7.31417     0.78339    0.637
 267.39584    10.33455     8.57364     6.97727     0.88910    0.625
 267.43750    11.05833     9.13667     7.55583     0.86201    0.636
 267.47916    11.31818     9.48091     8.13000     0.74881    0.646
 267.52084    18.91667    16.10833    13.86417     0.70329    0.669
 267.56250    20.08000    17.33000    14.66000     0.71204    0.647
 267.60416    18.19167    15.47500    13.15000     0.73454    0.628
 267.64584    16.45000    13.93000    12.13000     0.68950    0.627
 267.68750    16.82500    13.82500    11.50000     0.86123    0.607
 267.72916    15.64546    12.71818    10.55091     0.89167    0.604
 267.77084    14.88182    12.20909    10.08000     0.88175    0.604
 267.81250    17.67273    14.81818    12.48364     0.78673    0.606
 267.85416    14.60375    12.36375    10.64500     0.71563    0.606
 267.89584         NaN         NaN         NaN         NaN      NaN
 267.93750    -0.08160    -0.05067     0.06300        -NaN    0.389
